Genome A	Genes in A	Genome B	Genes in B	# orthologous genes	Mean AAI	Std AAI	Orthologous fraction (OF)
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000737595.1_ASM73759v1_genomic_prodigal_proteins	2774	1028	65.38	14.33	61.56
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003331785.1_ASM333178v1_genomic_prodigal_proteins	2125	956	65.19	14.20	57.25
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins	2746	1034	65.27	14.40	61.92
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210705.1_ASM321070v1_genomic_prodigal_proteins	2244	729	64.03	14.37	43.65
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000019485.1_ASM1948v1_genomic_prodigal_proteins	3233	677	53.49	12.56	40.54
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003283055.1_ASM328305v1_genomic_prodigal_proteins	482	30	58.51	13.94	6.22
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins	2691	732	56.14	12.98	43.83
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000316685.1_ASM31668v1_genomic_prodigal_proteins	3706	654	53.70	12.56	39.16
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000063525.1_ASM6352v1_genomic_prodigal_proteins	2540	1436	98.32	2.81	85.99
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760395.1_ASM276039v1_genomic_prodigal_proteins	2661	558	53.22	11.64	33.41
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003208755.1_ASM320875v1_genomic_prodigal_proteins	690	218	62.96	14.47	31.59
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002171995.1_ASM217199v1_genomic_prodigal_proteins	1978	595	64.82	14.11	35.63
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900474085.1_UW86_genomic_prodigal_proteins	2403	1009	65.74	14.43	60.42
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002172175.1_ASM217217v1_genomic_prodigal_proteins	1846	1042	87.15	8.76	62.40
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003208835.1_ASM320883v1_genomic_prodigal_proteins	2208	719	65.18	14.40	43.05
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000485815.1_ASM48581v1_genomic_prodigal_proteins	3083	653	53.32	12.59	39.10
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001182765.1_WH8103.1_genomic_prodigal_proteins	2676	1031	65.69	14.21	61.74
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000179235.2_ASM17923v2_genomic_prodigal_proteins	3071	1046	67.09	13.62	62.63
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210795.1_ASM321079v1_genomic_prodigal_proteins	2239	797	64.53	14.55	47.72
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002706715.1_ASM270671v1_genomic_prodigal_proteins	1148	516	65.17	14.39	44.95
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002006815.1_ASM200681v1_genomic_prodigal_proteins	1973	947	70.31	13.17	56.71
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210755.1_ASM321075v1_genomic_prodigal_proteins	2871	917	64.21	14.61	54.91
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900474245.1_UW179B_genomic_prodigal_proteins	2743	1022	64.70	14.39	61.20
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210345.1_ASM321034v1_genomic_prodigal_proteins	1256	416	64.14	13.98	33.12
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002760345.1_ASM276034v1_genomic_prodigal_proteins	2731	576	53.24	11.64	34.49
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210975.1_ASM321097v1_genomic_prodigal_proteins	627	264	65.91	14.66	42.11
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002690325.1_ASM269032v1_genomic_prodigal_proteins	2554	918	64.36	14.18	54.97
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000161795.2_ASM16179v2_genomic_prodigal_proteins	2407	988	65.89	14.27	59.16
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_004211895.1_ASM421189v1_genomic_prodigal_proteins	954	451	65.40	13.96	47.27
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210735.1_ASM321073v1_genomic_prodigal_proteins	2337	761	64.09	14.33	45.57
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003712085.1_ASM371208v1_genomic_prodigal_proteins	2745	1032	65.68	14.17	61.80
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003212155.1_ASM321215v1_genomic_prodigal_proteins	262	73	89.80	14.99	27.86
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001040845.1_ASM104084v1_genomic_prodigal_proteins	2917	1051	64.55	14.35	62.93
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002018015.1_ASM201801v1_genomic_prodigal_proteins	1578	563	62.72	13.00	35.68
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211255.1_ASM321125v1_genomic_prodigal_proteins	1850	589	63.99	14.41	35.27
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002721235.1_ASM272123v1_genomic_prodigal_proteins	3119	684	53.36	12.50	40.96
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001039265.1_ASM103926v1_genomic_prodigal_proteins	2832	658	67.95	14.00	39.40
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003283135.1_ASM328313v1_genomic_prodigal_proteins	459	71	62.91	15.26	15.47
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209215.1_ASM320921v1_genomic_prodigal_proteins	1679	491	65.28	14.63	29.40
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002737305.1_ASM273730v1_genomic_prodigal_proteins	1951	747	67.00	13.69	44.73
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209035.1_ASM320903v1_genomic_prodigal_proteins	1803	622	64.69	14.70	37.25
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003331795.1_ASM333179v1_genomic_prodigal_proteins	1948	1308	98.64	3.36	78.32
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002017955.1_ASM201795v1_genomic_prodigal_proteins	512	147	62.51	12.83	28.71
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900474295.1_UW140_genomic_prodigal_proteins	2925	1043	65.38	14.27	62.46
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211565.1_ASM321156v1_genomic_prodigal_proteins	1489	494	64.25	14.64	33.18
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003283215.1_ASM328321v1_genomic_prodigal_proteins	239	13	58.78	16.76	5.44
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211235.1_ASM321123v1_genomic_prodigal_proteins	1698	538	64.25	14.74	32.22
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003283165.1_ASM328316v1_genomic_prodigal_proteins	217	58	65.86	13.76	26.73
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210995.1_ASM321099v1_genomic_prodigal_proteins	2385	762	65.56	14.57	45.63
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002167425.2_ASM216742v2_genomic_prodigal_proteins	2822	926	64.41	14.06	55.45
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002171075.2_ASM217107v2_genomic_prodigal_proteins	1919	939	74.67	12.11	56.23
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003213755.1_ASM321375v1_genomic_prodigal_proteins	1050	433	93.78	10.10	41.24
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209155.1_ASM320915v1_genomic_prodigal_proteins	2305	809	65.17	14.38	48.44
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003211515.1_ASM321151v1_genomic_prodigal_proteins	2451	698	64.55	14.09	41.80
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210935.1_ASM321093v1_genomic_prodigal_proteins	1868	711	65.03	14.59	42.57
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210555.1_ASM321055v1_genomic_prodigal_proteins	1847	587	63.36	14.16	35.15
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000155595.1_ASM15559v1_genomic_prodigal_proteins	5270	681	53.40	12.29	40.78
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001007665.1_ASM100766v1_genomic_prodigal_proteins	2356	736	61.65	12.77	44.07
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic_prodigal_proteins	3317	670	53.54	12.57	40.12
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003526105.1_ASM352610v1_genomic_prodigal_proteins	1581	576	66.28	14.88	36.43
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000195975.1_ASM19597v1_genomic_prodigal_proteins	2719	1033	65.78	14.07	61.86
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209165.1_ASM320916v1_genomic_prodigal_proteins	2711	876	65.22	14.50	52.46
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002693285.1_ASM269328v1_genomic_prodigal_proteins	2440	923	65.04	14.30	55.27
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001631935.1_ASM163193v1_genomic_prodigal_proteins	3526	1058	65.04	14.15	63.35
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002151525.1_ASM215152v1_genomic_prodigal_proteins	1628	793	69.70	13.23	48.71
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins	2704	1011	66.18	14.16	60.54
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001693295.1_ASM169329v1_genomic_prodigal_proteins	3183	679	53.43	12.62	40.66
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209005.1_ASM320900v1_genomic_prodigal_proteins	2548	839	64.80	14.31	50.24
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002017915.1_ASM201791v1_genomic_prodigal_proteins	623	206	64.52	13.45	33.07
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900047545.1_m9_genomic_prodigal_proteins	1575	543	61.17	12.72	34.48
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins	3521	1063	65.06	14.18	63.65
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_004212765.1_ASM421276v1_genomic_prodigal_proteins	1162	518	64.83	14.04	44.58
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002685515.1_ASM268551v1_genomic_prodigal_proteins	1286	539	63.67	14.19	41.91
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209135.1_ASM320913v1_genomic_prodigal_proteins	1719	575	63.95	14.19	34.43
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210335.1_ASM321033v1_genomic_prodigal_proteins	942	228	61.70	15.10	24.20
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_000515235.1_ASM51523v1_genomic_prodigal_proteins	2873	1024	64.83	14.15	61.32
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003523965.1_ASM352396v1_genomic_prodigal_proteins	1735	512	62.25	12.68	30.66
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_002684175.1_ASM268417v1_genomic_prodigal_proteins	1819	620	63.73	13.71	37.13
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_900473965.1_UW179A_genomic_prodigal_proteins	3383	1060	64.75	14.27	63.47
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003209555.1_ASM320955v1_genomic_prodigal_proteins	908	332	89.61	12.28	36.56
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210495.1_ASM321049v1_genomic_prodigal_proteins	1134	351	63.51	14.11	30.95
GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	GCA_003210475.1_ASM321047v1_genomic_prodigal_proteins	1514	558	64.14	14.18	36.86
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins	2879	1054	69.37	13.90	63.00
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000317085.1_ASM31708v1_genomic_prodigal_proteins	3673	557	51.42	12.33	33.29
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002172045.1_ASM217204v1_genomic_prodigal_proteins	1670	601	63.96	14.89	35.99
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003208815.1_ASM320881v1_genomic_prodigal_proteins	1352	587	88.38	11.70	43.42
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins	2811	1060	70.22	13.65	63.36
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002760475.1_ASM276047v1_genomic_prodigal_proteins	2647	510	52.39	12.22	30.48
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003210775.1_ASM321077v1_genomic_prodigal_proteins	2665	804	68.57	14.11	48.06
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins	2740	655	54.94	12.89	39.15
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002170705.1_ASM217070v1_genomic_prodigal_proteins	1392	543	73.56	13.91	39.01
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003210535.1_ASM321053v1_genomic_prodigal_proteins	1257	540	88.70	10.05	42.96
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002760375.1_ASM276037v1_genomic_prodigal_proteins	2702	513	52.42	12.18	30.66
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003211455.1_ASM321145v1_genomic_prodigal_proteins	1186	448	73.87	14.76	37.77
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins	2830	1077	69.24	13.86	64.38
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_004332405.1_ASM433240v1_genomic_prodigal_proteins	2437	990	70.38	13.73	59.18
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_900473975.1_N26_genomic_prodigal_proteins	2454	1108	76.50	13.13	66.23
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins	2558	1021	69.37	13.86	61.03
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002698505.1_ASM269850v1_genomic_prodigal_proteins	2471	960	69.46	13.64	57.38
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002691345.1_ASM269134v1_genomic_prodigal_proteins	2078	937	75.69	12.68	56.01
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins	2771	923	65.68	13.86	55.17
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_900474015.1_UW106_genomic_prodigal_proteins	2762	1172	75.76	13.26	70.05
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000715475.1_ASM71547v1_genomic_prodigal_proteins	3299	600	52.63	12.81	35.86
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_001628295.1_ASM162829v1_genomic_prodigal_proteins	2145	1042	76.87	12.97	62.28
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003208775.1_ASM320877v1_genomic_prodigal_proteins	1808	701	69.02	13.91	41.90
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003208915.1_ASM320891v1_genomic_prodigal_proteins	1208	433	72.51	14.16	35.84
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_002172935.1_ASM217293v1_genomic_prodigal_proteins	1996	779	68.89	13.76	46.56
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins	2798	996	70.22	13.38	59.53
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_000153805.1_ASM15380v1_genomic_prodigal_proteins	2517	1298	93.06	7.63	77.59
GCA_003210515.1_ASM321051v1_genomic_prodigal_proteins	1673	GCA_003283205.1_ASM328320v1_genomic_prodigal_proteins	274	38	62.57	15.07	13.87
